Name of the Part,Quantity,Individual Price,Total Price,Status,Link
"Dayton Audio DMA80-4 3"" 4 Ohm (Woofer)",2,16.98,33.96,Not Owned,https://www.parts-express.com/Dayton-Audio-DMA80-4-3-Dual-Magnet-Aluminum-Cone-Full-Range-Driver-4-Ohm-295-586?quantity=1
"Dayton Audio ND16FA-4 5/8"" Tweeter 4 Ohm",2,8.98,17.96,Not Owned,https://www.parts-express.com/Dayton-Audio-ND16FA-4-5-8-Soft-Dome-Neodymium-Tweeter-4-Ohm-275-106?quantity=1
"Dayton Audio DMA80-PR 3"" DMA (Passive Radiator)",2,9.49,18.98,Not Owned,https://www.parts-express.com/Dayton-Audio-DMA80-PR-3-DMA-Series-Passive-Radiator-295-595?quantity=1
,,,,,
Dayton Audio LW18-15 0.15mH 18AWG (Inductor),4,5,20,Not Owned,https://www.parts-express.com/Dayton-Audio-LW18-15-0.15mH-18-AWG-Perfect-Layer-Inductor-257-804?quantity=1
Dayton Audio DMPC 4.7uF 250V (Capacitor),6,1.69,10.14,Not Owned,https://www.parts-express.com/Dayton-Audio-DMPC-4.7-4.7uF-250V-Polypropylene-Capacitor-027-422?quantity=1
10uF 100V Electrolytic Non-Polarized Capacitor,2,1.09,2.18,Not Owned,https://www.parts-express.com/10uF-100V-Non-Polarized-Capacitor-027-340?quantity=1
Dayton Audio DNR 6.0 Ohm 10W,4,1.25,5,Not Owned,https://www.parts-express.com/Dayton-Audio-DNR-6.0-6-Ohm-10W-Precision-Audio-Grade-Resisto-004-6?quantity=1
Dayton Audio DNR 2.0 Ohm 10W,2,1.25,2.5,Not Owned,https://www.parts-express.com/Dayton-Audio-DNR-2.0-2-Ohm-10W-Precision-Audio-Grade-Resisto-004-2?quantity=1
,,,,,
Raspberry Pi Zero 2 W,1,14.99,14.99,Owned,https://www.microcenter.com/product/486575/Zero_W_Development_Board;_Bluetooth_41;_1GHz_single-core_CPU;_512MB_RAM;_Mini_HDMI_and_USB_On-The-Go_ports;_CSI_camera_connector?storeID=131
SanDisk High Endurance 32GB microSD,1,22.99,22.99,Owned,https://www.amazon.com/SanDisk-Endurance-microSDHC-Adapter-Monitoring/dp/B07P14QHB7/ref=sr_1_1?crid=3BMJ0SNZQBGBK&dib=eyJ2IjoiMSJ9.fpElPicdVv8Sley0fZzRa5klasL-p7v0RZd7G0y2T2xih5LTAPqj_n9VujsQqF6KP07iAkNNESRvmiAlTfrAi3X5vHSq6w0o6lR7d1AC0HrbZmqMp7Q48VFIxAca-CbYRWXVXJv8be9lFvOj_DCzof2sMg_5v8Fdh7KHRAHazzVBrRFMz4b5XruwcBjcQfdBWMlEGE1RWqNrjt8Y6IG6iYc5wWupgFK95Rtb9hUMDl8.NstiqS-kQmzVF7kppV5lSEfhBF-DDhiClLzQvJIP-UQ&dib_tag=se&keywords=SanDisk%2BHigh%2BEndurance%2B32GB%2BmicroSD&qid=1781475488&sprefix=sandisk%2Bhigh%2Bendurance%2B32gb%2Bmicrosd%2Caps%2C124&sr=8-1&th=1
